name,value,eleccion
AfD,4694017,2021
CDU_CSU,13233475,2021
FDP,4040783,2021
GRÜNE,6465502,2021
LINKE,2306755,2021
OTROS,3253388,2021
SPD,12228363,2021
AfD,5317499,2017
CDU_CSU,17286238,2017
FDP,3249238,2017
GRÜNE,3717922,2017
LINKE,3966637,2017
OTROS,1305054,2017
SPD,11429231,2017
AfD,0,2013
CDU_CSU,19777721,2013
FDP,1028645,2013
GRÜNE,3180299,2013
LINKE,3585178,2013
OTROS,3184349,2013
SPD,12843458,2013
AfD,0,2009
CDU_CSU,17047674,2009
FDP,4076496,2009
GRÜNE,3977125,2009
LINKE,4791124,2009
OTROS,1259752,2009
SPD,12079758,2009
